x,y,True Class Label
-1.7130822337984553,-0.26852491198204054,1
-1.4925261425494996,-2.0012647718478473,1
-2.1139265022398024,-1.2722344393398641,1
-2.599884823720053,-0.8500432719476905,1
-2.2260088571649286,-0.6033450581986561,1
-2.0497451896159937,-0.4646428579620976,1
-2.0899695242712313,-2.1457280261457994,1
-2.408859138340873,-0.35208397405914915,1
-2.535313424873297,-2.7613653071619453,1
-1.9305434181396524,-1.1178744150092723,1
-1.5352310413775228,0.273813245676948,1
-2.3389828203001835,-0.5896881797285993,1
-1.436097393985664,-1.571903314199279,1
-2.045799401206105,-1.3537761955184595,1
-1.5086921522793484,-0.4463235744875177,1
-2.4223107712951912,-1.4472694883155706,1
-2.0731668936531045,-1.7277823745753662,1
-1.8302535974311234,-0.584213426038015,1
-2.2103682577451162,-0.6634422713409693,1
-1.959824630450969,-2.2095282345704215,1
-2.1224233417191574,-1.4435724180734895,1
-2.0224173679110122,-0.22913321974309908,1
-1.4619193838246645,-1.527559888937543,1
-2.063368876498151,-1.7214860238370064,1
-2.076322399474922,-1.9238140885861437,1
-2.1497653472434495,-0.7955956048181512,1
-2.1637636357884906,-0.513796432750464,1
-2.404532847301857,-1.1587761854246237,1
-2.9296910190446313,0.003183962315562505,1
-1.5890646887528552,-0.9430411879691443,1
-2.2785798012486884,-1.6005076888999628,1
-1.3555354655301286,-1.3814374312846593,1
-1.8862136271884191,-1.002102274018488,1
-1.473202301007579,-1.7714494738679059,1
-1.4486020366537418,-2.3258266590586407,1
-1.3965248241278947,-1.4554663225745677,1
-1.308736164778081,-0.36742446224382874,1
-2.1355000810134417,-0.8940291901654266,1
-1.628585876129486,-1.3692071186161814,1
-1.8500858940124367,-0.7122113287775738,1
-2.0578767127184503,-1.1809692739691056,1
-1.1408851780913745,-0.5434595371787,1
-2.5261708360393778,-0.9800879782356293,1
-1.774204143224581,0.6211700493529719,1
-1.7542411469972023,-0.6035113080026078,1
-2.5194916047064764,-1.4754516639565454,1
-2.2377858743047208,-0.38511960358948927,1
-1.7598040727197812,-1.2494103419137137,1
-1.8763166679812566,-1.0856880288166548,1
-1.6152428707129933,0.44247009331601594,1
-1.8262958680118464,-2.257833979019968,1
-3.044281444340621,-0.974585734678149,1
-3.0506396958002266,-0.7712138475747281,1
-1.1692648591770745,-1.3973414992416917,1
-2.506888564516829,-2.1227608687716293,1
-2.0966116934663814,-1.3167931732800955,1
-2.249913639605137,-1.616428603217039,1
-1.9644321823735578,0.5618607262287847,1
-2.3004215853428946,-1.4582117030386956,1
-1.6563025659660466,-1.163170117516698,1
-2.040326703226869,-1.3875020730238972,1
-0.9307753521865338,-1.3900016554070258,1
-3.150804932469879,-0.3311445608701459,1
-1.7941470634674392,0.0797506930542553,1
-2.66222986555461,-0.29425042160519155,1
-3.3213897696798504,-1.5077016375811485,1
-1.2309511966074318,-1.935273779754255,1
-1.3432702157192282,-1.5875540634232888,1
-1.9356310661012948,-0.7678403464475005,1
-2.1499789015977204,-1.1350601009374712,1
-2.5987488937713956,-0.5168852511720106,1
-1.9036610661881468,-0.8513353902880936,1
-1.9863558170769913,-0.7422111815287031,1
-2.2669981716980177,-0.5459321711800708,1
-2.2687425294722243,-1.4194035632697073,1
-1.9774631546812098,-0.870612618314496,1
-1.7376709221800921,0.0730223820525544,1
-1.603863339528603,-0.8588173251126818,1
-1.5137753692409868,-0.03582748055847462,1
-1.6474281543592009,-0.021970511230753442,1
-1.5922839285712476,-1.4809608604241922,1
-1.2535285626970856,-0.20444051514643546,1
-1.401643570866062,-0.9125766514751722,1
-2.304999948208892,-1.7396832971449914,1
-2.5501775734924825,-0.6929488653570284,1
-1.996623283159101,0.005410724996309568,1
-0.8741181863393825,-1.3699594486581697,1
-0.9342786575725319,-1.127430596895637,1
-2.8613395626621267,-1.905924763304964,1
-1.24311831437661,-0.8671622688063998,1
-0.6751780519025261,-0.8562385540269346,1
-1.8787235633039865,-0.7380275995180569,1
-1.790019589140679,-0.6747225993515547,1
-2.212566159586947,-0.8286492282853841,1
-2.408475051057546,-0.8111275750149061,1
-2.38502262045919,-1.0267745470941827,1
-1.878521978425086,-1.4138069770283572,1
-2.248262433362894,-0.4158536244145342,1
-2.2882240029077154,-1.2892076587065984,1
-2.3300640596170035,-0.06571069983803113,1
-1.8345979815672693,-0.8530814590424093,1
-1.9953804553483752,-1.5646967017177893,1
-1.7760455612419042,-2.262773991260904,1
-2.315000225283869,-0.7365823852128078,1
-2.03063231749744,-0.515073458282139,1
-1.7261607882473282,0.04783140520587548,1
-2.0682905416267743,-1.1835261794103298,1
-2.0177481030521847,-0.554454409990995,1
-1.638137388150572,0.04093770731265001,1
-1.1323460174430446,-1.6128737103790987,1
-2.302496732413834,-2.0394638856414167,1
-2.1343182639345186,-0.7722815742808011,1
